Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Severe
0,1,0,1,0,0,0,0,12,12,0,0,2,0,2
2,5,1,3,1,0,0,0,28,23,3,4,8,2,14
2,0,0,1,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,1,0,0,1,1
0,0,0,0,0,0,0,0,3,1,0,0,1,1,2
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
0,0,0,0,1,0,0,0,10,8,1,1,1,0,2
1,0,0,0,0,0,0,0,2,2,0,0,1,0,1
