INT_ID,Angle,Front_to_Rear,Head_On,Sideswipe_Same_Dir,Sideswipe_Opp_Dir,Parked_Veh,Rear_to_Side,Rear_to_Rear,Single_Veh,Sev_1,Sev_2,Sev_3,Sev_4,Sev_5,Sev_4-5,Sev_3-5
1642,44,41,10,9,4,0,1,0,4,69,28,13,3,0,3,16
1643,7,17,0,1,0,0,0,0,3,18,9,1,0,0,0,1
1644,7,11,0,3,1,0,0,0,1,15,8,0,0,0,0,0
1645,40,42,3,3,2,0,0,0,3,56,25,12,0,0,0,12
1646,8,12,0,1,1,1,0,0,1,16,4,4,0,0,0,4
1647,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1648,3,1,0,1,0,0,0,0,1,5,0,1,0,0,0,1
1649,1,4,0,4,0,0,0,0,1,6,2,2,0,0,0,2
1650,0,3,0,2,0,0,0,0,0,4,0,1,0,0,0,1
1651,10,10,0,1,0,0,0,0,1,16,4,2,0,0,0,2
1652,7,31,0,0,0,0,0,0,0,21,13,4,0,0,0,4
1653,2,11,0,0,0,0,0,0,0,9,3,1,0,0,0,1
1654,6,7,1,1,0,0,0,0,4,11,4,4,0,0,0,4
1655,15,43,0,2,1,0,0,0,5,44,14,7,1,0,1,8
1657,33,20,3,2,3,0,0,0,3,35,15,13,0,1,1,14
1658,4,4,0,1,0,0,0,0,1,7,1,2,0,0,0,2
1659,2,13,0,0,0,0,0,0,1,7,7,2,0,0,0,2
1660,4,1,1,1,0,0,0,0,1,3,3,2,0,0,0,2
1661,4,5,2,0,0,0,0,0,2,10,2,1,0,0,0,1
1662,27,46,3,0,1,2,0,0,3,48,26,5,3,0,3,8
1663,14,0,1,0,0,0,0,0,2,9,5,2,1,0,1,3
1664,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0
1665,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0
1666,8,4,0,0,0,0,0,0,5,12,3,2,0,0,0,2
1667,8,12,1,4,1,0,0,0,3,16,10,2,0,1,1,3
1668,12,21,2,1,1,0,1,0,2,25,9,6,0,0,0,6
1669,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1670,25,46,2,6,4,0,0,0,4,57,18,9,3,0,3,12
1671,10,18,0,2,1,0,0,0,6,14,10,13,0,0,0,13
1672,9,19,1,0,1,2,0,0,0,20,7,4,0,1,1,5
1673,23,32,1,5,0,0,0,0,4,42,12,7,3,1,4,11
1674,11,6,0,0,0,0,0,0,1,4,7,7,0,0,0,7
1675,13,11,2,0,0,0,0,0,1,15,4,5,3,0,3,8
1676,11,18,0,1,0,0,0,0,1,23,3,5,0,0,0,5
1677,17,14,2,0,1,1,0,0,1,22,7,6,1,0,1,7
1678,69,64,14,15,5,0,1,0,6,115,28,27,4,0,4,31
